I,T,Uraw
-1.2e-06,264.936,-0.0474243
-1.2e-06,259.943,-0.0482244
-1.2e-06,254.925,-0.0490961
-1.2e-06,249.941,-0.0500365
-1.2e-06,242.205,-0.0519262
-2.4e-06,314.942,-0.087791
-2.4e-06,310.026,-0.0875963
-2.4e-06,304.968,-0.0875355
-2.4e-06,299.929,-0.0876546
-2.4e-06,294.951,-0.0880642
-2.4e-06,289.928,-0.0887793
-2.4e-06,284.937,-0.0896941
-2.4e-06,279.929,-0.090739
-2.4e-06,274.937,-0.0919257
-2.4e-06,269.922,-0.0932459
-2.4e-06,264.936,-0.0946929
-2.4e-06,259.943,-0.0962875
-2.4e-06,254.925,-0.098028
-2.4e-06,249.941,-0.0999148
-2.4e-06,242.205,-0.391293
-3.6e-06,314.942,-0.131598
-3.6e-06,310.026,-0.131306
-3.6e-06,304.968,-0.131213
-3.6e-06,299.929,-0.13139
-3.6e-06,294.951,-0.132009
-3.6e-06,289.928,-0.133084
-3.6e-06,284.937,-0.134455
-3.6e-06,279.929,-0.136027
-3.6e-06,274.937,-0.137807
-3.6e-06,269.922,-0.139783
-3.6e-06,264.936,-0.141952
-3.6e-06,259.943,-0.144343
-3.6e-06,254.925,-0.146956
-3.6e-06,249.941,-0.149786
-3.6e-06,242.205,-0.440491
-4.8e-06,314.942,-0.175407
-4.8e-06,310.026,-0.175018
-4.8e-06,304.968,-0.174894
-4.8e-06,299.929,-0.175133
-4.8e-06,294.951,-0.17596
-4.8e-06,289.928,-0.177391
-4.8e-06,284.937,-0.179218
-4.8e-06,279.929,-0.181318
-4.8e-06,274.937,-0.183687
-4.8e-06,269.922,-0.186323
-4.8e-06,264.936,-0.189216
-4.8e-06,259.943,-0.1924
-4.8e-06,254.925,-0.195883
-4.8e-06,249.941,-0.199658
-4.8e-06,242.205,-0.489226
-6e-06,314.942,-0.219227
-6e-06,310.026,-0.218748
-6e-06,304.968,-0.218591
-6e-06,299.929,-0.218892
-6e-06,294.951,-0.219926
-6e-06,289.928,-0.221716
-6e-06,284.937,-0.223997
-6e-06,279.929,-0.226626
-6e-06,274.937,-0.229588
-6e-06,269.922,-0.232885
-6e-06,264.936,-0.236498
-6e-06,259.943,-0.240477
-6e-06,254.925,-0.244834
-6e-06,249.941,-0.249549
-6e-06,242.205,-0.53798
-7.2e-06,314.942,-0.263034
-7.2e-06,310.026,-0.262456
-7.2e-06,304.968,-0.262266
-7.2e-06,299.929,-0.262628
-7.2e-06,294.951,-0.263874
-7.2e-06,289.928,-0.266021
-7.2e-06,284.937,-0.26876
-7.2e-06,279.929,-0.271916
-7.2e-06,274.937,-0.275466
-7.2e-06,269.922,-0.279426
-7.2e-06,264.936,-0.28376
-7.2e-06,259.943,-0.288533
-7.2e-06,254.925,-0.293763
-7.2e-06,249.941,-0.299427
-7.2e-06,242.205,-0.586719
-8.4e-06,314.942,-0.306846
-8.4e-06,310.026,-0.306175
-8.4e-06,304.968,-0.305946
-8.4e-06,299.929,-0.306372
-8.4e-06,294.951,-0.307826
-8.4e-06,289.928,-0.31033
-8.4e-06,284.937,-0.313528
-8.4e-06,279.929,-0.31721
-8.4e-06,274.937,-0.321352
-8.4e-06,269.922,-0.325966
